"time","timeup","offer","done","player","stage.stage","stage.step","stage.round","timestamp","session"
2007,"false",81,"true","613633145222875",6,1,1,1595564009756,"room000003"
1836,"false","NA","true","84456137470071",6,1,1,1595564009758,"room000003"
