"time","timeup","value","responseTo","response","done","player","stage.stage","stage.step","stage.round","timestamp","session"
30211,"true","NA","84456137470071","REJECT","true","613633145222875",6,2,2,1595564070033,"room000003"
393,"false","NA","NA","NA","true","84456137470071",6,2,2,1595564070425,"room000003"
