id,type,workerid,hitid,assignmentid,access,exit,approve,reject,bonus,disconnected,disconnectedStage
981294284444519,bot,NA,NA,NA,NA,NA,1,0,0,0,NA
551510926905290,player,NA,NA,NA,NA,NA,0,1,0,1,4.1.1
